PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,candidaturas_mun
1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2016,23310,11,,1,148527.44,-8.75,-38.959999,PE,BELÉM DE SÃO FRANCISCO,PREFEITO,COLIGACAO,DEM,É HORA DE MUDAR PRA VALER,DEM / PROS / PHS / PSC / PT / PR / PMDB / PSD / PSDB,3
0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,2016,23310,11,,1,148527.44,-8.75,-38.959999,PE,BELÉM DE SÃO FRANCISCO,PREFEITO,COLIGACAO,PRB,"AVANÇA BELÉM, A MUDANÇA SOMOS NÓS",PRB / PDT / PTB / PTN / PRTB / PTC / PSB / PV / PRP / PEN / PC do B,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,23310,11,,1,148527.44,-8.75,-38.959999,PE,BELÉM DE SÃO FRANCISCO,PREFEITO,COLIGACAO,PSL,UNIDOS PELA MUDANCA DE BELEM,PSL / SD,3
1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2016,23329,11,,1,61678.801,-8.1599998,-40.610001,PE,SANTA FILOMENA,PREFEITO,COLIGACAO,PMDB,SANTA FILOMENA DIFERENTE,PMDB / PTB / PP / PT / PTN / PHS / PC do B / PV / PMN,2
0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,23329,11,,1,61678.801,-8.1599998,-40.610001,PE,SANTA FILOMENA,PREFEITO,COLIGACAO,PSD,TRABALHANDO POR AMOR E RESPEITO AO POVO DE SANTA FILOMENA,PSD / PDT / PSL / DEM / PTC / PSB / PSDB / SD,2
0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,23337,11,,1,428006.69,-8.3299999,-36.419998,PE,BELO JARDIM,PREFEITO,COLIGACAO,PSB,BELO JARDIM EM BOAS MÃOS,PSB / PSC / PSDB / PSD / PR,4
0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23337,11,,1,428006.69,-8.3299999,-36.419998,PE,BELO JARDIM,PREFEITO,COLIGACAO,PRB,BELO JARDIM PARA TODOS,PRB / PDT / PT / PTB / PMN,4
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,2016,23337,11,,1,428006.69,-8.3299999,-36.419998,PE,BELO JARDIM,PREFEITO,COLIGACAO,SD,UNIÃO PELO BEM DE BELO JARDIM,SD / PMDB / DEM / PC do B / PEN / PV / PHS / PSL / PP / PTC,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,23337,11,,1,428006.69,-8.3299999,-36.419998,PE,BELO JARDIM,PREFEITO,COLIGACAO,REDE,UM NOVO BELO JARDIM CONSTRUIDO POR TODOS,REDE / PRTB,4
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2016,23353,11,,1,72307.922,-8.2700005,-38.029999,PE,BETÂNIA,PREFEITO,COLIGACAO,PP,UNIDOS POR UMA NOVA HISTÓRIA,PP / PTB / REDE / PTC / SD / PT do B / PHS,2
0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,23353,11,,1,72307.922,-8.2700005,-38.029999,PE,BETÂNIA,PREFEITO,COLIGACAO,PSC,BETÂNIA DAQUI PRA MELHOR,PSC / PSB / PR / PSD / PRB,2
0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2016,23370,11,,1,343160.25,-8.2299995,-35.790001,PE,BEZERROS,PREFEITO,COLIGACAO,PDT,AGORA É A VEZ DO POVO,PDT / PT / PR / PC do B / PT do B / PTB / PPS,2
1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2016,23370,11,,1,343160.25,-8.2299995,-35.790001,PE,BEZERROS,PREFEITO,COLIGACAO,PSB,COMPROMISSO RENOVADO,PSB / PV / PP / PSDC / PSDB / PPL / PRP / PSD / DEM / PMDB / PTC / PSL / PHS,2
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23396,11,,1,156949.27,-7.77,-39.939999,PE,BODOCÓ,PREFEITO,COLIGACAO,PSB,PARA BODOCO SEGUIR EM FRENTE,PSB / PP / PSD / PSDB / PR / PRB / PTC / PT,2
0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016,23396,11,,1,156949.27,-7.77,-39.939999,PE,BODOCÓ,PREFEITO,COLIGACAO,DEM,UNIDOS POR UM BODOCÓ MELHOR,DEM / PSC / PTB / PDT / PRTB / PSL,2
1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2016,23418,11,,1,249749.77,-9.1700001,-36.68,PE,BOM CONSELHO,PREFEITO,COLIGACAO,PP,BOM CONSELHO PRA FRENTE,PP / PT / PTB / PMDB / PR / PPS / PHS / PTC / PSB / PV / PSDB / PRP / PSD / SD / PROS,2
0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2016,23418,11,,1,249749.77,-9.1700001,-36.68,PE,BOM CONSELHO,PREFEITO,COLIGACAO,DEM,MUDA BOM CONSELHO,DEM / PDT / PSL / PEN / PSC / PT do B,2
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23434,11,,1,231146.36,-7.79,-35.580002,PE,BOM JARDIM,PREFEITO,COLIGACAO,PT,BOM JARDIM DE TODOS,PT / PMDB / PTN / PSD,4
0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,2016,23434,11,,1,231146.36,-7.79,-35.580002,PE,BOM JARDIM,PREFEITO,COLIGACAO,REDE,A MUDANÇA NÃO PODE PARAR,REDE / PMN / PMB / PEN / PSL / PRB / PROS / PP / PC do B / PSDB / PRP / PPS / PHS / PSDC,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,23434,11,50,0,231146.36,-7.79,-35.580002,PE,BOM JARDIM,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,4
0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016,23434,11,,1,231146.36,-7.79,-35.580002,PE,BOM JARDIM,PREFEITO,COLIGACAO,PSB,MUDA BOM JARDIM,PSB / PDT / PTC / PR / PSC / DEM / PV / PRTB / SD,4
1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2016,23450,11,,1,233444.77,-8.4700003,-35.720001,PE,BONITO,PREFEITO,COLIGACAO,PSB,PRONTO PARA CONTINUAR,PSB / PRTB / REDE / PMDB / PDT / PC do B / PRP / PMN / DEM / PR / PROS,2
0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,2016,23450,11,,1,233444.77,-8.4700003,-35.720001,PE,BONITO,PREFEITO,COLIGACAO,PTB,JUNTOS PARA BONITO AVANÇAR,PTB / PRB / PT / PSL / PTN / PSDC / PHS / PTC / PSDB / PV / PSC / PEN / SD / PP / PT do B / PMB / PPL / PSD,2
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23477,11,,1,56592.961,-9.0299997,-36.560001,PE,BREJÃO,PREFEITO,COLIGACAO,PR,FRENTE POPULAR DE BREJÃO,PR / PSB / PMDB,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2016,23477,11,,1,56592.961,-9.0299997,-36.560001,PE,BREJÃO,PREFEITO,COLIGACAO,PTB,UM NOVO TEMPO.UMA NOVA HISTÓRIA,PTB / PSL / PSC / PRB,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23493,11,,1,46398.66,-7.3400002,-37.279999,PE,BREJINHO,PREFEITO,COLIGACAO,PTB,A ESPERANÇA VENCE O MEDO,PTB / PRB,2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23493,11,,1,46398.66,-7.3400002,-37.279999,PE,BREJINHO,PREFEITO,COLIGACAO,PSB,PELO PROGRESSO DE BREJINHO,PSB / PSD,2
0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,2016,23515,11,,1,243896.38,-8.1400003,-36.369999,PE,BREJO DA MADRE DE DEUS,PREFEITO,COLIGACAO,DEM,TODOS JUNTOS CONSTRUINDO O FUTURO,DEM / PC do B / PDT / PEN / PHS / PMB / PP / PRB / PRP / PRTB / PSD / PSDC / PT / PTB / SD / PT do B,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,23515,11,50,0,243896.38,-8.1400003,-36.369999,PE,BREJO DA MADRE DE DEUS,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,23515,11,43,0,243896.38,-8.1400003,-36.369999,PE,BREJO DA MADRE DE DEUS,PREFEITO,PARTIDO ISOLADO,PV,#NULO#,PV,5
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,23515,11,,1,243896.38,-8.1400003,-36.369999,PE,BREJO DA MADRE DE DEUS,PREFEITO,COLIGACAO,PSDB,POR UM BREJO FORTE E UNIDO,PSDB / PSB / PTC / PR / PPS / REDE / PMDB,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23515,11,54,0,243896.38,-8.1400003,-36.369999,PE,BREJO DA MADRE DE DEUS,PREFEITO,PARTIDO ISOLADO,PPL,#NULO#,PPL,5
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,23531,11,,1,78466.82,-7.7199998,-35.32,PE,BUENOS AIRES,PREFEITO,COLIGACAO,PR,UNIDOS POR BUENOS AIRES,PR / PHS / PSD / SD,2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23531,11,,1,78466.82,-7.7199998,-35.32,PE,BUENOS AIRES,PREFEITO,COLIGACAO,PSB,FRENTE POPULAR DE BUENOS AIRES,PSB / PSDB,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23558,11,13,0,252276.73,-8.6199999,-37.150002,PE,BUÍQUE,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,3
0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,23558,11,,1,252276.73,-8.6199999,-37.150002,PE,BUÍQUE,PREFEITO,COLIGACAO,PTB,JUNTOS SOMOS MAIS FORTES,PTB / PR / DEM / PMN / PT do B / PSD / PSB,3
1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,2016,23558,11,,1,252276.73,-8.6199999,-37.150002,PE,BUÍQUE,PREFEITO,COLIGACAO,PMDB,BUÍQUE MELHOR PARA TODOS,PMDB / PP / PRB / PDT / PSDB / PRP / PEN / PSC / PHS / PV / PRTB / PPS,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,23574,11,50,0,846067.94,-8.2799997,-35.029999,PE,CABO DE SANTO AGOSTINHO,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,3
0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,2016,23574,11,,1,846067.94,-8.2799997,-35.029999,PE,CABO DE SANTO AGOSTINHO,PREFEITO,COLIGACAO,PSC,FRENTE POPULAR DO CABO,PSC / PP / PDT / PSDC / PRTB / PMN / PMB / PTC / PSB / PRP / PEN / PT do B / PROS / PR / PRB,3
1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2016,23574,11,,1,846067.94,-8.2799997,-35.029999,PE,CABO DE SANTO AGOSTINHO,PREFEITO,COLIGACAO,PSDB,A MUDANÇA VERDADEIRA,PSDB / PMDB / PC do B / SD / PPS / PSD / PV / DEM / PSL / PHS,3
1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2016,23590,11,,1,174718.67,-8.5100002,-39.299999,PE,CABROBÓ,PREFEITO,COLIGACAO,PP,CABROBÓ É POVO DE NOVO,PP / PT / PTB / PMDB / PPS / DEM / PHS / PV / PSDB / PEN,2
0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,23590,11,,1,174718.67,-8.5100002,-39.299999,PE,CABROBÓ,PREFEITO,COLIGACAO,PSB,O POVO NO PODER,PSB / PSD / PRB / PDT / PSL / PR / PRTB / PMN / PTC / PRP / SD / PT do B,2
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,23612,11,,1,103549.17,-8.4799995,-36.23,PE,CACHOEIRINHA,PREFEITO,COLIGACAO,SD,UNIDOS POR UMA CACHOEIRINHA MELHOR,SD / PT / PROS,3
