ano	estado	municipio	partido	prefeito
2000	AL	CAMPO GRANDE	PSB	C?CERO FERREIRA NETO
2004	MA	SAO JOAO DO PARAISO	PSDB	JOSê ALDO RIBEIRO SOUZA
2008	BA	NOVA F?TIMA	PT	MANOEL SANTOS DE OLIVEIRA
2008	MG	BONFIM	PMDB	DEJAIR CêSAR RIBEIRO CAMPOS
2008	SP	SANTA B?RBARA D'OESTE	PDT	MARIO CELSO HEINS
2008	TO	FILADêLFIA	PP	CLEBER GOMES ESPIRITO SANTO
2012	MA	TASSO FRAGOSO	PV	ANTONIO CARLOS RODRIGUES VIEIRA
2004	MA	SUCUPIRA DO RIACHAO	PFL	ANTONIO LUIZ DE SOUSA
2012	MA	S?O RAIMUNDO DO DOCA BEZERRA	PT	MARIA ARLENE PIMENTA UCH?A
1996	MG	DOM CAVATI	PPB	MARIA DA CONCEICAO ALMEIDA ALVES
2000	MA	CHAPADINHA	PFL	MAGNO AUGUSTO BACELAR NUNES
2000	MG	UBAI	PFL	LAURENTINO PEREIRA FREIRE
2004	RS	FORTALEZA DOS VALOS	PP	OSVALDO RUBIN FACCO
2012	RS	GENERAL C?MARA	PHS	DARCI GARCIA DE FREITAS
2000	BA	MARCIONILIO SOUZA	PTB	EDSON FERREIRA DE BRITO
2000	MA	FORMOSA DA SERRA NEGRA	PSDB	CLAUDIO VALE DE ARRUDA
2004	SP	AURIFLAMA	PT	JOSE JACINTO ALVES FILHO
2012	SE	ARACAJU	DEM	JO?O ALVES FILHO
1996	MG	CATAS ALTAS DA NORUEGA	PMDB	MARIA DE LOURDES VIEIRA
2004	GO	CACHOEIRA ALTA	PSDB	CLOVIS DE OLIVEIRA
2012	GO	CABECEIRAS	PP	NADIR JOSE DE PAIVA
2000	RN	TRIUNFO POTIGUAR	PL	ANTONIO ESTEVAM
2000	RS	SETE DE SETEMBRO	PMDB	VALTER NICOLETTI BARON
2008	PR	FORMOSA DO OESTE	PMDB	JOSE MACHADO SANTANA
2008	PR	RENASCENÄA	PSDB	JOSE KRESTENIUK
2008	RN	SERRINHA	PMDB	FABIANO HENRIQUE DE SOUZA TEIXEIRA
1996	RN	MESSIAS TARGINO	PL	CESAR TEIXEIRA JALES
2000	SP	SANTA CRUZ DO RIO PARDO	PSDB	ADILSON DONIZETI MIRA
1996	MG	ESTRELA DALVA	PPB	MARIA DAS GRACAS COSTA MENDES
2000	SC	TIMBE DO SUL	PMDB	Vanildo Pezente
2000	MG	RESENDE COSTA	PSDB	Gilberto JosÇ Pinto
2000	TO	CRIXAS DO TOCANTINS	PP	ABDON MENDES FERREIRA
1996	PB	POCO DE JOSE DE MOURA	PFL	JUAREZ ALVES TAVARES
2000	PA	PARAGOMINAS	PSDB	SHEDNEY JORGE ROSA
2004	SP	TEJUPA	PSDB	VALTER BORANELLI
2012	SP	TARUM?	PSDB	JAIRO DA COSTA E SILVA
2008	MG	IBI?	PC do B	IVO MENDES FILHO
2008	PR	ESPERANÄA NOVA	PMDB	EVERTON BARBIERI
2000	MG	JOAQUIM FELICIO	PP	HELMAR OLIVEIRA DE SOUZA
2004	GO	CRISTIANOPOLIS	PL	IRIS AURêLIO BORGES DIAS
2004	SP	FERNANDO PRESTES	PSDB	BENTO LUCHETTI J?NIOR
2012	GO	GOIANIRA	PP	RANDEL MILLER DE ASSIS SANTOS
2012	SP	ECHAPOR?	PDT	ARISTEU BOMFIM
2004	MG	SANTA BARBARA	PTB	ANT?NIO EDUARDO MARTINS
2012	MG	SACRAMENTO	PSD	BRUNO SCALON CORDEIRO
1996	AM	CAREIRO	PTB	JOEL RODRIGUES LOBO
1996	MG	CAMPESTRE	PMDB	LEANDRO ANTONIO BORGES
2000	SP	TAGUAI	PL	JOSê OSVALDO DALCIM
2004	MG	SERICITA	PFL	SEBASTI?O ROBISON CRUZ DOS REIS
2012	MG	S?O TOM?S DE AQUINO	PR	RONEIDO TEOFILO DE CARVALHO
2008	MG	IBIRACATU	PT	JOEL FERREIRA LIMA
2008	PB	CUBATI	PP	DIMAS PEREIRA DA SILVA
2004	PE	SALOA	PTB	JOSE ALVES DE ARAUJO
2012	PE	RIO FORMOSO	PTB	HELY JOSE DE FARIAS JUNIOR
2004	RO	CABIXI	PDT	JOSê ROZARIO BARROSO
2012	RO	ESPIG?O DO OESTE	PMDB	CêLIO RENATO DA SILVEIRA
2004	RJ	MANGARATIBA	PSC	AAR?O DE MOURA BRITO NETO
2012	RJ	MIRACEMA	PR	JUEDYR ORSAY SILVA
1996	SP	MAGDA	PSDB	BRAZ DOURADO
2000	MG	AGUAS FORMOSAS	PMDB	JOSE HENRIQUE BRITO
2000	RS	CORONEL PILAR	PP	ROSALINO MORESCO
2004	ES	SAO GABRIEL DA PALHA	PMN	RAQUEL FERREIRA MAGESTE LESSA
2012	ES	RIO NOVO DO SUL	PMDB	MARIA ALBERTINA MENEGARDO FREITAS
1996	CE	TABULEIRO DO NORTE	PMDB	JOSE CHAVES GUERREIRO
2000	PB	CUITEGI	PFL	ANTONIO ALBUQUERQUE CABRAL
2000	MG	CAMANDUCAIA	PMDB	EMYDIO MOREIRA FILHO
1996	GO	NIQUELANDIA	PSD	LUIZ TEIXEIRA CHAVES
2004	PE	SANTA CRUZ DA BAIXA VERDE	PMDB	FRANCISCO GOMES DA SILVA
2012	PE	TAQUARITINGA DO NORTE	PSB	JOSE EVILASIO DE ARAUJO
2008	PE	SERT?NIA	PSB	LUCICLEIDE XAVIER FERREIRA DOS SANTOS
2008	SC	ANT?NIO CARLOS	PMDB	GERALDO PAULI
2004	MA	BACURI	PSB	WASHINGTON LU?S DE OLIVEIRA
2004	PR	CRUZMALTINA	PSDB	MAUR?CIO BUENO DE CAMARGO
2012	MA	ALTO ALEGRE DO PINDARê	PRTB	ATENIR RIBEIRO MARQUES
2012	PR	CONGONHINHAS	PSDB	JOSê OLEGARIO RIBEIRO LOPES
1996	RS	ROLANTE	PMDB	SERGIO GERALDO PRETTO
2000	SP	RIBEIRAO DO SUL	PMDB	PEDRO DOS SANTOS MOUTA
2004	MG	SAO JOSE DO JACURI	PTB	JOSê GERALDO ALVES GONÄALVES
2012	MG	S?O JOSê DA VARGINHA	PMN	MARCOS EUG?NIO SANCHES MARTINS
1996	SC	RODEIO	PPB	HELIO JOSE FIAMONCINI
2000	RJ	LAJE DO MURIAE	PMDB	JOSê ELIêZER TOSTES PINTO
2004	PR	SANTA ANA DO ITARARE	PSDB	ELCIO JOSê VIDAL
2004	SC	MACIEIRA	PMDB	VALDIR MARQUES DE OLIVEIRA
2008	PR	ALTO PIQUIRI	PSB	GERSON MARCIO NEGRISSOLI
2008	PR	FLORESTA	PMDB	ANTONIO FUENTES MARTINS
2008	RS	NICOLAU VERGUEIRO	PMDB	DANILMAR DA COSTA
2012	PR	QUATRO PONTES	PT	PAULO CESAR FEYH
2012	SC	JAGUARUNA	PP	LUIS ARNALDO NAPOLI
2000	RS	TAVARES	PMDB	GILSON TERRA PAIVA
2004	MA	PAULO RAMOS	PMDB	JO?O TEIXEIRA NORONHA
2012	MA	MIRINZAL	PMDB	AMAURY SANTOS ALMEIDA
2004	MG	SAO FRANCISCO	PT	JOSê ANT?NIO DA ROCHA LIMA
2012	MG	SANTANA DO GARAMBêU	PSDB	WALTER EVARISTO DA FONSECA
2004	SC	URUPEMA	PMDB	ARLITA TEREZINHA DE SOUZA PAGANI
2012	SC	URUSSANGA	PMDB	JOHNNY FELIPPE
2000	PR	BOCAIUVA DO SUL	PTB	ELCIO BERTI
1996	PB	BARRA DE SANTA ROSA	PSDB	MARIA ELIETE ALENCAR DE ALMEIDA PEREIRA
1996	RN	CARNAUBAIS	PSDB	NELSON GREGORIO BEZERRA
2004	PI	PAJEU DO PIAUI	PFL	FRANCISCO RODRIGUES PIAUILINO
2004	PR	IGUARACU	PDT	ANGELO CELSO ZAMPIERI
2012	PI	PAJE? DO PIAU?	PMDB	JUSCELINO MESQUITA DOS REIS
2012	PR	INAJ?	PP	ALCIDES ELIAS FERNANDES
2000	PI	SAO BRAZ DO PIAUI	PMDB	MARIA DAS MERC?S CRIST?V?O DO NASCIMENTO
2000	RS	DOM PEDRO DE ALCANTARA	PMDB	JOVINO ALZEMIRO VIEIRA
2004	RS	BOM PRINCIPIO	PSDB	ILDA MARIA WILTGEN OST
2012	RS	BOSSOROCA	PP	ARDI JAEGER
2008	MA	LORETO	PRB	GERMANO MARTINS COELHO
2008	PI	UNI?O	PT	JOSE BARROS SOBRINHO
2008	RJ	RIO DAS FLORES	PP	LUIZ CARLOS FERREIRA DOS REIS
1996	PI	AVELINO LOPES	PMDB	ANTONIO CARLOS GOMES DE BRITO
1996	TO	XAMBIOA	PMDB	ADEMAR VIEIRA FILHO
2000	MG	MONTE CARMELO	PSDB	AJALMAR JOSê DA SILVA
1996	MG	SANTA FE DE MINAS	PDT	MARLON ABREU BRAGA
1996	SP	IGARAPAVA	PSDB	GILBERTO SOARES DOS SANTOS
2004	BA	BROTAS DE MACAUBAS	PP	ARILTON OLIVEIRA ARAUJO
2004	MA	TIMBIRAS	PT do B	DIRCE MARIA COELHO XAVIER
2012	BA	ARATU?PE	PSD	SANDRA RITA LAGO SOUZA
2012	MA	TURIL?NDIA	PT do B	ALBERTO MAGNO SERRAO MENDES
2000	MG	POMPEU	PDT	FRANCISCO LUIZ CORDEIRO GUIMAR?ES
2004	MA	BACABAL	PP	RAIMUNDO NONATO LISBOA
2012	MA	APICUM-AÄU	PV	CLAUDIO LUIS LIMA CUNHA
2004	AM	HUMAITA	PTB	ROBERTO RUI GUERRA DE SOUZA
2004	CE	NOVO ORIENTE	PSDB	FRANCISCO VALDECY SOARES COELHO
2012	AM	JUTA?	PMDB	MARLENE GONÄALVES CARDOSO
2012	CE	MARCO	PP	JOSE GRIJALMA ROCHA SILVA
1996	SP	JUNDIAI	PSDB	MIGUEL MOUBADDA HADDAD
2000	RS	ESMERALDA	PP	Antonio Carlos Silva Alves
2000	RS	FAXINALZINHO	PSB	HELIO SIMPLICIO CORAZZA
2004	RO	COSTA MARQUES	PMDB	êLIO MACHADO DE ASSIS
2008	MG	ANT?NIO DIAS	DEM	TEN?RIO ROSA ARAUJO
2008	MG	RIACHO DOS MACHADOS	PR	DOMINGAS DA SILVA PAZ
2008	PI	INHUMA	PMDB	MOACIR GONÄALVES DE CARVALHO
2008	PR	CARAMBE?	PSDB	OSMAR RICKLI
2008	PR	DOUTOR ULYSSES	PMDB	PEDRO JUNIOR ANSELMO DE ASSIS
2008	PR	GENERAL CARNEIRO	PSB	IVANOR DACHERI
2008	RN	CARNA?BA DOS DANTAS	PP	ALEXANDRE DANTAS DE MEDEIROS
2008	RS	VICENTE DUTRA	PDT	OSMAR JOSE DA SILVA
2012	RN	SERRA NEGRA DO NORTE	PT	URBANO BATISTA DE FARIA
1996	SP	LUTECIA	PSDB	GELSIO PAULO DE CARVALHO
2000	MA	SAO MATEUS DO MARANHAO	PMDB	ANA MARIA NUNES CORREIA DE CASTRO
1996	RN	MARTINS	PFL	MARCOS ANTONIO CHAVES FERNANDES DE QUEIROZ
2004	RN	SAO RAFAEL	PMDB	GLADSTONE SANTOS DA COSTA
2012	RN	PEDRA GRANDE	PMDB	MARCOS LUIZ PEREIRA
2004	MG	ARAPUA	PSDB	VILSON GONTIJO DE OLIVEIRA
2012	MG	ARGIRITA	PDT	MARILIA COELHO FURTADO
2004	PR	ROLANDIA	PMDB	EURIDES MOURA
2012	PR	RIO BRANCO DO IVA?	PTB	GERONCIO JOSE CARNEIRO ROSA
1996	GO	MATRINCHA	PL	JANIO DIVINO DE ARAUJO
1996	PB	ITAPOROROCA	PMDB	UMBERTO FERNANDES DE SOUZA
1996	RO	CUJUBIM	PT	JOAO BECKER
2004	RS	NONOAI	PDT	ADEMAR DALL' ASTA
2012	RS	MONTE BELO DO SUL	PTB	LIRIO TURRI
1996	SP	RESTINGA	PMDB	CLARINDO FERRACIOLI
2000	MG	ARANTINA	PSDB	PAULO HENRIQUE PIRES FERNANDES
1996	AL	IBATEGUARA	PMN	QUITERIA OLIVEIRA CALDAS BARRETO
2008	MG	ARAÄUA?	PDT	AêCIO SILVA JARDIM
2008	PA	CURU?	PTB	RAIMUNDO REIS BARBOSA RIBEIRO
2008	PI	OEIRAS	PSB	BENEDITO DE CARVALHO SA
2008	SE	PEDRA MOLE	PT	CLEVERTON SANTOS
1996	SC	PETROLANDIA	PMDB	MELVI WEBER
1996	ES	CACHOEIRO DE ITAPEMIRIM	PTB	THEODORICO DE ASSIS FERRACO
1996	PE	ALAGOINHA	PFL	LENILSON FLAVIO BEZERRA DE  ALMEIDA
2000	GO	ADELANDIA	PFL	ANTONIO DOS REIS PEREIRA
1996	RS	CERRO BRANCO	PPB	DELILIA OLGA RICHARDT GLASENAPP
2000	RS	PORTO LUCENA	PT	ADEMAR OSCAR OLSSON
2004	RS	SAPIRANGA	PP	JOAQUIM PORTAL DOS SANTOS
2012	RS	SEDE NOVA	PT	ELCIO SODER
1996	MG	PRATAPOLIS	PPB	BENIGNO SILVA FILHO
2004	BA	MANSIDAO	PSDB	NEY BORGES DE OLIVEIRA
2004	RO	PIMENTEIRAS DO OESTE	PSDB	CARLOS ROGERIO RODRIGUES
2012	BA	NAZARê	PTN	MILTON RABELO DE ALMEIDA J?NIOR
2012	RO	NOVO HORIZONTE DO OESTE	PSDB	VARLEY GONCALVES FERREIRA
1996	MG	CUPARAQUE	PSB	NARCISO TEIXEIRA NETO
1996	SP	FLOREAL	PSDB	ODERCI PERIOTO
2008	MA	TIMBIRAS	PT	RAIMUNDO NONATO DA SILVA PESSOA
2008	MG	MARTINS SOARES	PSDB	VALDIMIR ROELA DA SILVA JUNIOR
2008	RN	S?O BENTO DO TRAIR?	PMDB	JOSê ANDRADE DANTAS
2008	RS	NOVA P?DUA	PMDB	ITAMAR BERNARDI
2000	SE	ARACAJU	PT	MARCELO DêDA CHAGAS
2000	SP	MONTE ALEGRE DO SUL	PTB	JOSê ENêAS CONTI
2004	SP	CASTILHO	PSDB	JONI MARCOS BUZACHERO
2012	SP	C?NDIDO MOTA	PMDB	ZACHARIAS JABUR
2004	RN	SERRA DO MEL	PMDB	FRANCISCO BEZERRA LINS FILHO
2012	RN	PIL?ES	PMDB	FRANCISCO DAS CHAGAS DE OLIVEIRA SILVA
1996	PB	CACIMBA DE AREIA	PMDB	EGILMARIO SILVA BEZERRA
2000	PI	ANISIO DE ABREU	PSDB	ABMERVAL GOMES DIAS
2004	BA	MARACAS	PFL	NELSON LUIZ DOS ANJOS PORTELA
2004	PI	SAO BRAZ DO PIAUI	PFL	EMILIO DE FARIAS COSTA
2012	BA	MACURURê	PT	SILMA ELIANE ADRIANO DO NASCIMENTO CARVALHO
2012	PI	TANQUE DO PIAU?	PT	FRANCISCO PEREIRA DA SILVA FILHO
1996	MG	JOANESIA	PSDB	JOSE FABIO DE ALVARENGA
2000	MG	CURRAL DE DENTRO	PSDB	L£cio Nogueira Alves
1996	BA	SAO MIGUEL DAS MATAS	PPB	ANTONIO SOUZA ANDRADE
2004	PB	PEDRA LAVRADA	PFL	JOSE ANTONIO VASCONCELOS DA COSTA
2008	BA	MACURURê	PT	SILMA ELIANE ADRIANO DO NASCIMENTO CARVALHO
2008	MA	PORTO RICO DO MARANH?O	PSDB	CELSON CESAR DO NASCIMENTO MENDES
2008	PA	SANTARêM	PT	MARIA DO CARMO MARTINS LIMA
2012	PB	LAGOA DE DENTRO	PSD	FABIANO PEDRO DA SILVA
2000	MG	SAO PEDRO DA UNIAO	PP	UDAGMAR ALMEIDA DA SILVA
2004	SE	TOMAR DO GERU	PDT	IARA SOARES COSTA
2012	SE	UMBA?BA	PDT	JOSE SILVEIRA GUIMARAES
2004	GO	AMERICANO DO BRASIL	PMDB	IRONI GOMES MACHADO
2012	GO	ADEL?NDIA	PMDB	VICTOR LEONARDO DE LIMA SOARES
1996	PE	SALGADINHO	PSB	LUCIANO JOSE FERREIRA DA SILVA LIMA
1996	RS	SAO BORJA	PMDB	PAULO BARON MAURER
2000	CE	SALITRE	PP	FRANCISCO PEREIRA FILHO
2008	MT	POXORêU	PMDB	RONAN FIGUEIREDO ROCHA
2008	PI	MORRO CABEÄA NO TEMPO	PMDB	GEDEON DEVEZA DA ROCHA
2004	MG	PERDIGAO	PFL	GILMAR TEODORO DE S?O JOSê
2012	MG	PAULA C?NDIDO	PMDB	MARCELO RODRIGUES DA SILVA
2000	RN	SITIO NOVO	PP	FRANCISCO HUDSON XAVIER CUNHA
2004	BA	CORONEL JOAO SA	PL	JOSE ROMUALDO SOUZA COSTA
2004	CE	JAGUARUANA	PSDB	JOSê AUGUSTO DE ALMEIDA
2012	BA	êRICO CARDOSO	PT	JOAO PAULO DE SOUZA
2012	CE	ITAPAGê	PTB	CIRO MESQUITA DA SILVA BRAGA
2000	SP	JARINU	PFL	ANTONIO CLARETE LORENCINI
2000	MG	SANTOS DUMONT	PP	Pacifico Estites Rodrigues
1996	PI	MARCOS PARENTE	PPB	MARIA DA CONCEICAO LIMA DO CARMO
2000	MG	ITAMOGI	PSDB	OSMAIR MARTINS
2004	SP	ESPIRITO SANTO DO PINHAL	PP	PAULO KLINGER COSTA
2012	SP	ELDORADO	PTB	DONIZETE ANTONIO DE OLIVEIRA
1996	MG	MONSENHOR PAULO	PMDB	JOSE ADAMO BELATO
1996	CE	IBICUITINGA	PSD	EUGENIO RABELO
2004	PE	ALIANCA	PSDB	CARLOS JOSê DE ALMEIDA FREITAS
2012	PB	VIEIR?POLIS	PTB	ANTONIO CEZAR BRAGA
2008	PE	INAJ?	PR	AIRON TIMOTEO CAVALCANTE
2008	RS	VISTA GA?CHA	PMDB	CLAUDEMIR JOSê LOCATELLI
2008	TO	PAU D'ARCO	PR	EDIMAR ALVES PINHEIRO
2004	PR	MIRASELVA	PSDB	CELSO RUBENS VICENTE ANTIVERI
2012	PR	MUNHOZ DE MELO	PMDB	GERALDO GOMES
1996	TO	CHAPADA DA NATIVIDADE	PSDB	JOAQUIM URCINO FERREIRA
2004	MT	SANTO ANTONIO DO LEVERGER	PFL	FAUSTINO DIAS NETO
2012	MT	VERA	PP	NILSO JOSê VIGOLO
2004	AL	PARICONHA	PP	MOACIR VIEIRA DA SILVA
2012	AL	PIRANHAS	PDT	DANTE ALIGHIERI SALATIEL DE ALENCAR BEZERRA DE MENEZES
2000	RS	ITAPUCA	PSDB	DEOCLECIO FERREIRA PANCOTTE
2004	SC	GRAVATAL	PMDB	RUDINEI CARLOS DO AMARAL FERNANDES
2012	SC	GUARAMIRIM	PSD	LAURO FROHLICH
2008	CE	AURORA	PSDB	JOSE ADAILTON MACEDO
2008	PR	SERTAN?POLIS	PSDB	REINALDO RAMOS REIS
2008	RN	ENCANTO	DEM	ALBERONE NERI DE OLIVEIRA LIMA
2008	SC	ANCHIETA	PT	ANTONIO LUIZ MARIANI
1996	BA	IGUAI	PMDB	WANDERLEY FRAGA LIMA
1996	SC	MAFRA	PPB	CARLOS EDUARDO BEZERRA SALIBA
1996	SE	PINHAO	PFL	NILO FRAGA MENEZES
2000	PR	RONCADOR	PSDB	ODILON ANDREOLI GONÄALVES
1996	PE	DORMENTES	PFL	JOSE OLIMPIO RODRIGUES
2004	MG	TAPIRA	PTB	JEREMIAS RAIMUNDO VEN?NCIO
2012	MG	TOCOS DO MOJI	PSDB	ANTONIO RODRIGUES DA SILVA
2004	GO	CRISTALINA	PL	ANTONINO CAMILO DE ANDRANDE
2012	GO	GUARANI DE GOI?S	PSDB	VOLNEI JOSE MOMOLI
2004	BA	BELMONTE	PMDB	I?DO JOSE MENEZES ELIAS
2012	BA	ARACI	PDT	ANTONIO CARVALHO DA SILVA NETO
1996	SC	JARDINOPOLIS	PFL	LENIO ALUISIO FORESTI
2008	AL	FELIZ DESERTO	PMDB	MAYKON BELTR?O LIMA SIQUEIRA
2008	BA	CABACEIRAS DO PARAGUAÄU	PMDB	ROMILDES OLIVEIRA RIOS MACHADO
2008	PA	ACAR?	PP	FRANCISCA MARTINS OLIVEIRA E SILVA
1996	PB	UMBUZEIRO	PFL	CARLOS PESSOA NETO
1996	PE	LAGOA DOS GATOS	PSB	LUIZ BATISTA DA SILVA
1996	RN	ESPIRITO SANTO	PFL	MANOEL GOMES TEIXEIRA
1996	PI	ITAUEIRA	PMDB	ASPASIA ROCHA DE ANDRADE
1996	MG	CONCEICAO DA BARRA DE MINAS	PSDB	ALTAIR ALVIM
1996	MG	GUARDA-MOR	PSDB	ROMULO FERREIRA DA SILVA
1996	TO	PEDRO AFONSO	PFL	JOSE COMBAS ALAMEDA
1996	PE	CUMARU	PFL	EDUARDO GONCALVES TABOSA JUNIOR
2000	PB	ARARA	PFL	JOSE IBIAPINA SOARES DO NASCIMENTO
2004	RS	PANAMBI	PMDB	DELMAR HINNAH
2012	RS	NOVO MACHADO	PT	AIRTON JOSE MORAES
2000	MG	ALVORADA DE MINAS	PMDB	PEDRO CARLOS DE ABREU FILHO
2004	PR	CASTRO	PMDB	MOACYR ELIAS FADEL JUNIOR
2008	BA	GONGOGI	PDT	ALTAMIRANDO DE JESUS SANTOS
2008	PA	RIO MARIA	PSB	WALTER JOSE DA SILVA
2008	PB	BOA VISTA	PSDB	EDVAN PEREIRA LEITE
2008	PR	ASSIS CHATEAUBRIAND	PTB	DALILA JOSê DE MELLO
2012	PR	BRASIL?NDIA DO SUL	PSDB	MARCIO JULIANO MARCOLINO
2000	PR	ANDIRA	PPS	CARLOS KANEGUSUKU
2004	MG	PEDRA DO INDAIA	PL	ITAMAR JOSE DA COSTA
2012	MG	PERIQUITO	PMDB	GERALDO MARTINS GODOY
2004	SP	JACUPIRANGA	PT	JO?O BATISTA DE ANDRADE
2012	SP	ITOBI	PSDB	ALEXANDRE TORIBIO
2000	PI	MASSAPE DO PIAUI	PP	BENEDITO ESMêRIO DE SOUZA
2000	BA	SANTA MARIA DA VITORIA	PP	PRUDENTE JOSê DE MORAIS
2004	PI	BELA VISTA DO PIAUI	PMDB	ELOISIO RAIMUNDO COELHO
2012	PI	BARREIRAS DO PIAU?	PMDB	DIVINO ALANO BARREIRA SERAINE
1996	RN	JAPI	PPB	TARCISIO ARAUJO DE MEDEIROS
2004	PR	TEIXEIRA SOARES	PMDB	JOAO INACIO ROOS
2012	PR	TAPIRA	PSB	DELFINO MARQUES DA SILVA
1996	SP	GASTAO VIDIGAL	PFL	SEBASTIAO FELISBERTO FERNANDES
2000	PE	AGRESTINA	PMDB	JosuÇ Mendes da Silva
2000	PI	JAICOS	PP	ANT?NIO CRISANTO DE SOUZA NETO
2004	MG	GAMELEIRAS	PTB	DOMINGOS FERREIRA DE SOUZA
2004	SP	SILVEIRAS	PL	EDSON MENDES MOTA
2012	MG	GUARANêSIA	DEM	JO?O CARLOS MINCHILLO
2012	SP	SERRA AZUL	PT	MARCELO AFONSO DE QUEIROZ
2000	AM	BOA VISTA DE RAMOS	PTB	VASCO BENTO DOS SANTOS RIBEIRO
2000	AM	MANACAPURU	PFL	ANGELUS CRUZ FIGUEIRA
2004	GO	SERRANOPOLIS	PSDB	LIDEVAM L?DIO DE LIMA
2012	GO	VICENTIN?POLIS	PMDB	JOSE OLIVEIRA FERNANDES
1996	PA	BOM JESUS DO TOCANTINS	PSDB	LUCIO ANTUNES DA SILVA
2004	MT	NOVA BANDEIRANTE	PT	VALDIR MENDES BARRANCO
2004	PR	BOA ESPERANCA	PTB	ANTONIO IVO COELHO
2008	BA	SANTA B?RBARA	PT	JAILSON COSTA DOS SANTOS
2008	MG	FRANCISCO BADAR?	PDT	JOSE JOAO DE FIGUEIRO OLIVEIRA
2008	SC	RIO DO OESTE	PT	ODENIR FELIZARI
2008	SP	CHARQUEADA	PSDB	ROMEU ANTONIO VERDI
2012	MT	NOVO HORIZONTE DO NORTE	PSD	JO?O ANTONIO DE OLIVEIRA
2012	PR	CANTAGALO	PSB	EVERSON ANTONIO KONJUNSKI
2004	PI	AMARANTE	PMN	HELCIAS RIBEIRO GONÄALVES LIRA
2012	PI	BARRA D'ALC?NTARA	PSB	ANTONIO RODRIGUES DOS SANTOS FILHO
1996	SP	FLORINEA	PFL	BENEDITO GRANADO FILHO
2004	PR	SAO JERONIMO DA SERRA	PPS	CARLOS SUTIL
2012	PR	SAPOPEMA	PT	VERA LUCIA DA SILVA GOLONO
1996	PB	PARARI	PFL	JAIRO AIRES CALUETE
1996	AM	MARAA	PPB	DILMAR SANTOS AVILA
1996	MT	UNIAO DO SUL	PSDB	PAULO CESAR VIECELLI
2004	RN	CORONEL JOAO PESSOA	PSB	ANTONIO EMIDIO DE SOUZA
2012	RN	BOD?	DEM	FRANCISCO SANTOS DE SOUSA
1996	MG	CENTRALINA	PSDB	JOSE MILTON DE OLIVEIRA
2004	PB	CUBATI	PP	JOSINALDO VIEIRA DA COSTA
2012	PB	DAMI?O	PSB	LUCILDO FERNANDES DE OLIVEIRA
2004	BA	BARRO ALTO	PL	ORLANDO AMORIM  SANTOS
2004	SC	URUSSANGA	PP	LUIZ CARLOS ZEN
2012	BA	BOA VISTA DO TUPIM	PT	JOAO DURVAL PASSOS TRABUCO
2012	SC	TIJUCAS	PMDB	VALêRIO TOMAZI
2000	BA	MUNIZ FERREIRA	PMDB	ANTONIO GERSON QUADROS DE ANDRADE
2004	PI	CAXINGO	PSDB	RAIMUNDO NONATO SOBRINHO
2012	PI	CURRALINHOS	PTB	REGINALDO SOARES TEIXEIRA
2008	BA	BREJOL?NDIA	DEM	EDEZIO NUNES BASTOS
2008	BA	MADRE DE DEUS	PMDB	ERANITA DE BRITO OLIVEIRA
2008	PA	CUMARU DO NORTE	PDT	VILMAR FARIAS VALIM
2008	PB	SOL?NEA	PMDB	FRANCISCO DE ASSIS DE MELO
1996	SP	POTIRENDABA	PSD	JOSE LUIZ FRANZOTTI
1996	RJ	NILOPOLIS	PDT	JOSE CARLOS SOARES CUNHA
2004	TO	RIACHINHO	PTB	EURIPEDES LOURENÄO DE MELO
2012	TO	TALISM?	PMDB	MIRIAM SALVADOR COSTA RIBEIRO
1996	PR	SAO JOSE DA BOA VISTA	PDT	PEDRO CARVALHO FILHO
2004	TO	SUCUPIRA	PT	JO?O ALVES DA SILVA
2012	TO	BRASIL?NDIA DO TOCANTINS	PSD	JOAO EMIDIO FELIPE DE MIRANDA
1996	SC	ARABUTA	PPB	DAVID MORETTO
2004	BA	PONTO NOVO	PFL	JOSê VENANCIO SOBRINHO
2012	BA	PONTO NOVO	PP	ADELSON CARNEIRO MAIA
1996	MG	PALMOPOLIS	PFL	ARIVALDO DE ALMEIDA COSTA
1996	PI	MASSAPE DO PIAUI	PFL	MIGUEL LUIZ TELES
2004	PI	COCAL DE TELHA	PPS	JOSE ERASMO DA SILVA
2012	PI	JATOB? DO PIAU?	PSD	DALBERTO ROCHA DE ANDRADE
2008	CE	CRUZ	PSDB	JO?O MUNIZ SOBRINHO
2008	RS	MORRO REUTER	PMDB	ADAIR RICARDO BOHN
2008	SP	OSASCO	PT	EMIDIO PEREIRA DE SOUZA
2004	RS	AGUDO	PMDB	ARI ALVES DA ANUNCIAÄ?O
2012	RS	BOA VISTA DO SUL	PMDB	ALOISIO RISSI
1996	PE	PEDRA	PSB	JOSE TENORIO VAZ
2000	TO	SAO SEBASTIAO DO TOCANTINS	PMDB	RAIMUNDO AIRTON URUÄU
1996	SC	CAPAO ALTO	PPB	TITO PEREIRA DE FREITAS
2004	MA	CACHOEIRA GRANDE	PFL	FRANCISCO BARBOSA DOS SANTOS
2004	TO	NOVO ALEGRE	PPS	PAULINO PEREIRA DOS SANTOS
2012	MA	BURITI BRAVO	PTB	CID PEREIRA DA COSTA
2012	TO	F?TIMA	PSDB	RAIMUNDO MASCARENHAS NETO
