ano	estado	municipio	partido	prefeito
1996	RO	JAMARI	PMDB	HELENA DA COSTA BEZERRA
2000	MG	LIMA DUARTE	PMDB	CARLOS ALBERTO BARROS
2004	RS	SANTANA DA BOA VISTA	PMDB	DONATO LAUDELINO DA ROSA NETO
2012	RS	SANTANA DO LIVRAMENTO	PT	GLAUBER GULARTE LIMA
2000	ES	ITAPEMIRIM	PSD	ALCINO CARDOSO
2000	PE	BOM CONSELHO	PPS	JosÇ Daniel Brasileiro Feliciano
1996	MG	RIO NOVO	PT	ANTONIO DE MOURA VAROTTO
2000	MS	PEDRO GOMES	PT	MARCILIO ATANASIO FONTOURA
1996	SP	SALTO	PDT	JOAO GUIDO CONTI
1996	MG	MATIAS BARBOSA	PPB	CARLOS ANTONIO DE CASTRO LOPES
1996	MG	SANTANA DA VARGEM	PFL	HELIO DE CARVALHO TERRA
2000	AM	URUCURITUBA	PPS	FELIX VITAL DE ALMEIDA
2008	PA	ANAPU	PT	FRANCISCO DE ASSIS DOS SANTOS SOUSA
2000	RS	XANGRI-LA	PDT	LUIZ CEZAR MAGGI BASSANI
2008	MA	BARREIRINHAS	PT	MILTON DIAS ROCHA FILHO
2000	PA	VITORIA DO XINGU	PT	ANSELMO HOFFMANN
2008	PE	TORITAMA	DEM	FL?VIO DE SOUZA LIMA
2004	AP	MACAPA	PT	JO?O HENRIQUE RODRIGUES PIMENTEL
2012	AP	MAZAG?O	PMDB	GIODILSON PINHEIRO BORGES
2000	PR	GUARAQUECABA	PMDB	ANTONIO FELICIO RAMOS FILHO
2008	PR	ADRIAN?POLIS	PT	JO?O MANOEL PAMPANINI
2008	SP	ROSANA	PMN	APARECIDA BATISTA DIAS DE OLIVEIRA
1996	RS	PELOTAS	PDT	JOSE ANSELMO RODRIGUES
2008	MG	CABECEIRA GRANDE	PSDB	ANTONIO NAZARE SANTANA MELO
2000	MG	RAUL SOARES	PL	HOMERO RIBEIRO
1996	RJ	ARARUAMA	PRP	VILMAR JOSE DIAS DE OLIVEIRA
2000	SP	OCAUCU	PFL	EZIO ANTONIO MARZOLA
2004	TO	CASEARA	PSDB	VALTER FERREIRA SANTANA
2012	TO	FORMOSO DO ARAGUAIA	PRTB	WAGNER COELHO DE OLIVEIRA
2008	AL	S?O MIGUEL DOS MILAGRES	PSDB	ADALBERTO PAIVA VERÄOSA JUNIOR
2000	MA	ALTO PARNAIBA	PFL	RAIMUNDA DE BARROS COSTA
2004	RR	MUCAJAI	PSC	ECILDON DE SOUZA PINTO FILHO
2012	RS	BARRA DO RIBEIRO	PSD	LUCIANO GUIMAR?ES MACHADO BONEBERG
1996	SP	ARACATUBA	PRP	GERMINIA DOLCE VENTUROLLI
2004	PA	BREU BRANCO	PMDB	ARMENIO OLIVEIRA BARREIRINHAS
2012	PA	BELêM	PSDB	ZENALDO RODRIGUES COUTINHO JUNIOR
1996	SP	BARIRI	PMDB	JOSE CLAUDIO DOS SANTOS
2004	CE	MONSENHOR TABOSA	PPS	FRANCISCO JEOV? MADEIRO CAVALCANTE
2012	CE	NOVA RUSSAS	PMDB	GONCALO SOUTO DIOGO
2004	AM	TEFE	PFL	SID?NIO TRINDADE GONÄALVES
2012	AM	S?O GABRIEL DA CACHOEIRA	PC do B	RENE COIMBRA
2004	AM	CANUTAMA	PFL	RAIMUNDO SAMPAIO DA COSTA
2012	AM	BOA VISTA DO RAMOS	PMDB	AMINTAS JUNIOR LOPES PINHEIRO
2000	SP	ITUVERAVA	PSDB	L?CIO ADALBERTO LIMA MACHADO
2008	AC	PORTO ACRE	PT	JOSE MARIA RODRIGUES
2008	GO	ANICUNS	PRTB	MANOEL VICENTE VIEIRA
1996	RO	SAO FELIPE D OESTE	PT	JOSE MENDES FERREIRA FILHO
1996	MG	BRASILANDIA DE MINAS	PSDB	JOAO CARDOSO DO COUTO
2008	BA	ENTRE RIOS	PMDB	FERNANDO ALMEIDA DE OLIVEIRA
2004	TO	TUPIRAMA	PSDB	ORLEI BRITO ALVES
2012	TO	NOVO ACORDO	PSB	JOSE COELHO NETO
1996	PA	SANTA MARIA DAS BARREIRAS	PDT	ADINEI CAMPOS RESENDE
2004	RJ	CABO FRIO	PMDB	MARCOS DA ROCHA MENDES
2012	RJ	BOM JESUS DO ITABAPOANA	PMDB	MARIA DAS GRACAS FERREIRA MOTTA
1996	MG	SAO JOAO DEL REI	PFL	CARLOS ALBERTO DA SILVA BRAGA
2004	MA	CANTANHEDE	PL	RAIMUNDO NONATO BORBA SALES
2012	MA	C?NDIDO MENDES	PSB	JOSE RIBAMAR LEITE DE ARAUJO
2000	SP	IPERO	PFL	MARCOS ANTONIO TADEU ANDRADE
2008	BA	SALVADOR	PMDB	JO?O HENRIQUE DE BARRADAS CARNEIRO
2004	SP	BARRA BONITA	PSDB	DIMAS DE SALES PAIVA
2012	SP	ATIBAIA	PSD	SAULO PEDROSO DE SOUZA
2000	MG	MATOZINHOS	PMN	AD?O PEREIRA SANTOS
1996	PA	CURIONOPOLIS	PMN	OSMAR RIBEIRO DA SILVA
1996	TO	ABREULANDIA	PTB	WALDER GOMES WANDERLEY
2000	AM	ATALAIA DO NORTE	PFL	ROSARIO CONTE GALATE NETO
1996	MT	ARENAPOLIS	PFL	NATANAEL MATOS NASCIMENTO
2000	ES	ARACRUZ	PSDB	LUIZ CARLOS CAC? GONÄALVES
2004	MG	PIRAJUBA	PP	MARCOS CESAR BRUNOZZI
2012	MG	PONTE NOVA	PT	PAULO AUGUSTO MALTA MOREIRA
1996	SP	EMBU	PSD	OSCAR YAZBEK
2000	AL	PALMEIRA DOS INDIOS	PTB	ALBERICO CORDEIRO DA SILVA
2000	PR	FOZ DO IGUACU	PMDB	CELSO SAMIS DA SILVA
2008	MG	CAETê	PR	ADEMIR DA COSTA CARVALHO
2004	SP	CAMPOS NOVOS PAULISTA	PSDB	CARMEN APARECIDA GIOVANI RUIZ
2012	SP	CAMPOS DO JORD?O	PSDB	FREDERICO GUIDONI SCARANELLO
2000	SP	CRUZEIRO	PFL	CELSO DE ALMEIDA LAGE
2008	PA	MARITUBA	PPS	JESUS BERTOLDO RODRIGUES DO COUTO
2008	MG	HELIODORA	PT	ERC?LIO CONFORT LORENA
1996	PR	ANTONINA	PST	MUNIRA PELUSO
2000	MG	BAMBUI	PMDB	NEYSSON PAULINELLI  DE OLIVEIRA
2000	SP	PIRAPOZINHO	PTB	SêRGIO PINAFFI
2000	MG	POTE	PFL	Antonio Pio Saldanha Mota
2008	SP	MIRASSOL	PDT	JOSê RICCI JUNIOR
2004	MG	BORDA DA MATA	PMDB	BENEDITO COBRA FILHO
2012	MG	BOM DESPACHO	PPS	FERNANDO JOSê CASTRO CABRAL
2008	TO	PINDORAMA DO TOCANTINS	PMDB	MARIONISCE GASPAR RIBEIRO
2000	SP	CASA BRANCA	PP	SCKANDAR MUSSI
2000	AP	SANTANA	PL	ROSEMIRO ROCHA FREIRES
2008	PR	PORECATU	PMDB	WALTER TENAN
2004	RS	BARROS CASSAL	PP	ADELAR JANDREY SOARES
2012	RS	CACHOEIRA DO SUL	PT	LUIS NEIRON TEIXEIRA VIEGAS
2000	MS	TERENOS	PMDB	ALONSO HONOSTORIO DE REZENDE
2000	SP	ITAQUAQUECETUBA	PMDB	MARIO LUIZ MORENO
1996	SP	CACONDE	PSDB	ANTONIO CARLOS DE FARIA
1996	MG	SAO TIAGO	PFL	FRANCISCO ARISTEU PEREIRA
2004	SP	LENCOIS PAULISTA	PSDB	JOSê ANTONIO MARISE
2012	SP	JUMIRIM	PTB	ADEMIR DO NASCIMENTO
2004	SC	GARUVA	PP	JO?O ROM?O
2012	SC	FLORIAN?POLIS	PSD	CESAR SOUZA J?NIOR
2004	MG	TABULEIRO	PT	JORGE ELIAS SENHORINHA
2012	MG	UBERABA	PMDB	PAULO PIAU NOGUEIRA
2008	PR	GOIOER?	DEM	LUIZ ROBERTO COSTA
2000	RS	ESTRELA	PDT	GERALDO FERNANDO M?NICA
1996	MG	NOVO ORIENTE DE MINAS	PMDB	JOSE FERREIRA JARDIM
1996	MG	CONQUISTA	PFL	RUI DA MATTA COSTA
1996	PA	SAO JOAO DE PIRABAS	PSB	EDIVALDO CORREA DA COSTA
1996	RO	COSTA MARQUES	PMDB	ELIO MACHADO DE ASSIS
2008	GO	CAVALCANTE	PTN	JOSIAS MAGALH?ES COSTA SOBRINHO
2008	RS	S?O JER?NIMO	PP	MARCELO LUIZ SCHREINERT
2008	RS	NOVA SANTA RITA	PP	FRANCISCO ANTONIO BRAND?O SEGER
2008	GO	S?O FRANCISCO DE GOI?S	PMDB	LUIZ ANT?NIO DA PAIX?O
2004	PR	BRAGANEY	PSDB	RUI FIGUEIREDO PEREIRA
2012	PR	CAMPO LARGO	PT	AFFONSO PORTUGAL GUIMAR?ES
2004	RN	CARNAUBAIS	PMDB	ZENILDO BATISTA DE SOUSA
2012	RN	CEAR?-MIRIM	PR	ANTONIO MARCOS DE ABREU PEIXOTO
2004	MG	ITAMARATI DE MINAS	PFL	HERIVELTO FURTADO ZANELA
2012	MG	ITAJUB?	PMDB	RODRIGO IMAR MARTINEZ RIERA
2008	RJ	RIO DE JANEIRO	PMDB	EDUARDO DA COSTA PAES
1996	RS	ITAARA	PMDB	EDUARDO NOGUEIRA DA ROSA
2008	SP	PO?	PDT	FRANCISCO PEREIRA DE SOUSA
1996	PI	AMARANTE	PFL	ADONIAS ALBUQUERQUE PRESTES
1996	SP	SAO ROQUE	PSDB	EFANEU NOLASCO GODINHO
2004	PR	CANTAGALO	PSDB	PEDRO CLARISMUNDO BORELLI
2012	PR	CAND?I	PT	GELSON KRUK DA COSTA
2008	MG	CAXAMBU	PHS	LUIZ CARLOS PINTO
2008	MA	PIRAPEMAS	PP	ELISEU BARROSO DE CARVALHO MOURA
1996	PA	MELGACO	PMDB	GILBERTO FELIPE BARBOSA
2000	PE	OURICURI	PSDB	FRANCISCO RAMOS DA SILVA
2004	RJ	QUISSAMA	PSC	ARMANDO CUNHA CARNEIRO DA SILVA
2012	RJ	PINHEIRAL	PT	JOSê ARIMATHêA OLIVEIRA
1996	AL	MACEIO	PSB	KATIA BORN RIBEIRO
2008	MA	S?O FRANCISCO DO BREJ?O	PV	ALEXANDRE ARAUJO DOS SANTOS
1996	AP	PRACUUBA	PSB	DORIMAR NEVES NUNES
2008	SP	BAURU	PMDB	RODRIGO ANTONIO DE AGOSTINHO MENDONÄA
2004	SP	BORA	PSDB	NELSON CELESTINO TEIXEIRA
2012	SP	BOM JESUS DOS PERD?ES	PV	EDUARDO HENRIQUE MASSEI
2004	SP	VOTUPORANGA	PSDB	CARLOS EDUARDO PIGNATARI
2012	TO	SUCUPIRA	PTB	VALDMIR RIBEIRO DE CASTRO
2008	PE	PARNAMIRIM	PRB	FERDINANDO LIMA DE CARVALHO
2004	MG	GUAPE	PT	NELSON ALVES LARA
2012	MG	GOVERNADOR VALADARES	PT	ELISA MARIA COSTA
2000	RS	ARARICA	PSDB	M?RIO VALDIR AUGUSTIN
2000	MG	QUARTEL GERAL	PTB	ALBERTO CAETANO
2000	MG	CURVELO	PFL	MAURILIO SOARES GUIMAR?ES
1996	PA	SOURE	PFL	PAULO FERNANDO MACIEIRA PEIXOTO
2000	AP	PORTO GRANDE	PDT	CICERO JOSê DE LIMA
2008	RS	TAQUARI	PDT	IVO DOS SANTOS LAUTERT
2000	ES	COLATINA	PSB	JO?O GUERINO BALESTRASSI
2000	AM	SAO GABRIEL DA CACHOEIRA	PFL	RAIMUNDO QUIRINO CALIXTO
1996	RJ	RIO BONITO	PFL	SOLANGE PEREIRA DE ALMEIDA
1996	PR	SANTA AMELIA	PPB	VALDEMAR PAGLIACI
2000	BA	FLORESTA AZUL	PMN	RAIMUNDO S?LVIO
2000	RN	NISIA FLORESTA	PP	JO?O LOURENÄO NETO
2000	RS	VALE VERDE	PMDB	ROQUE ALV?CIO EISERMANN
1996	SP	EMBU GUACU	PSDB	ANTONIO LOPES SUEIRO FILHO
1996	SP	SOROCABA	PFL	JOSE ANTONIO CALDINI CRESPO
1996	MA	ARAGUANA	PMDB	BERNARDO LIMA FURTADO
2000	AM	LABREA	PFL	JOSê OLIMPIO FILHO
2008	AM	CAREIRO DA V?RZEA	PMDB	RAIMUNDO NONATO DA SILVA
2004	AL	MARECHAL DEODORO	PMDB	JOSê DANILO DAMASO DE ALMEIDA
2012	AL	MATRIZ DE CAMARAGIBE	PSD	MARCOS PAULO DO NASCIMENTO
2004	ES	MARATAIZES	PMDB	ANTONIO BITENCOURT
2012	ES	MUNIZ FREIRE	PSB	PAULO FERNANDO MIGNONE
2004	RS	CRUZALTENSE	PMDB	JOAREZ LUIS SANDRI
2012	RO	URUP?	PTB	SêRGIO DO SANTOS
2000	SP	CAPAO BONITO	PSDB	ROBERTO KAZUSHI TAMURA
1996	RJ	SAO JOAO DE MERITI	PSDB	CANDIDO PEREIRA MATTOS
2008	MA	PAÄO DO LUMIAR	PDT	GLORISMAR ROSA VENANCIO
2004	SP	GUARA	PSDB	MARCO AURELIO MIGLIORI
2012	SP	GETULINA	PMDB	FABIO AUGUSTO ALVARES
2000	MG	PIRANGA	PL	CELSO PEIXOTO MACIEL
2000	SP	ASSIS	PSDB	CARLOS ANGELO NOBILE
1996	AP	MAZAGAO	PSDB	ALCIDES GOMES DOS REIS
2004	RJ	ITAPERUNA	PMDB	JAIR DE SIQUEIRA BITTENCOURT JUNIOR
2012	RJ	ITABORA?	PMDB	HELIL BARRETO CARDOZO
2008	MG	RAPOSOS	PT	JOAO CARLOS DA APARECIDA
1996	RJ	SAO JOSE DO VALE DO RIO PRETO	PTB	ADILSON FARACO BRUGGER DE OLIVEIRA
1996	SP	BOTUCATU	PSDB	PEDRO LOSI NETO
1996	BA	JANDAIRA	PSC	JAIME PAULO DOS SANTOS
2000	RS	PALMEIRA DAS MISSOES	PP	ALECRIDES SANT?ANNA DE MORAES
2004	BA	SANTA TERESINHA	PFL	JOSê LU?S PEDREIRA SANTOS
2008	PA	MARAPANIM	PMDB	JOSE RIBAMAR MONTEIRO CARVALHO
2012	BA	SANTA CRUZ CABR?LIA	PT	JORGE MONTEIRO PONTES
1996	MG	URUCANIA	PT	JOSE JOAO DE SOUZA
1996	MG	ARAGUARI	PMDB	MILTON DE LIMA FILHO
1996	SP	PEREIRA BARRETO	PSB	JORGE TANAKA
2008	RJ	ITABORA?	PP	SERGIO ALBERTO SOARES
2000	SP	JALES	PSDB	JOSê CARLOS GUISSO
2000	MG	ITUTINGA	PTB	ANTONIO ALVES DE PAIVA
2004	MA	TUTOIA	PTN	ZILMAR MELO ARAUJO
2012	MG	ALMENARA	PSDB	FABIANY FERRAZ GIL FIGUEIREDO
2008	GO	GOI?S	PP	MARCIO RAMOS CAIADO
1996	MG	MINDURI	PPB	EDMIR GERALDO SILVA
2008	MG	SOLEDADE DE MINAS	PMDB	GERALDO EMILIANO DOS SANTOS
2000	CE	BARBALHA	PSDB	EDMUNDO DE S? FILHO
1996	AC	XAPURI	PT	JULIO BARBOSA DE AQUINO
1996	SP	MAIRINQUE	PMDB	JOAO IDEVAL COMODO
2000	SP	AGUDOS	PMDB	JOSE CARLOS OCTAVIANI
2004	SP	CANITAR	PTB	ANIBAL FELICIANO
